Id,OwnerId,IsDeleted,Name,CurrencyIsoCode,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Tour__c,Date__c,Home_Team__c,Away_Team__c,Team_Home__c,Team_Away__c,Country__c,Scored__c,Conceded__c,Total__c,Result__c,Scored_half_1__c,Conceded_half_1__c,Total_half_1__c,Result_half_1__c,Scored_half_2__c,Conceded_half_2__c,Total_half_2__c,Result_half_2__c
,,,,,,,,,,,12/9/2020,Soligorsk,Vitebsk,a2U6F000002L7xWUAS,a2U6F000002L7xQUAS,Belarus,5,0,5,5,2,0,2,2,3,0,3,3
,,,,,,,,,,,12/9/2020,Bate Borisov,Smolevichi,a2U6F000002L7xFUAS,a2U6F000002L7xCUAS,Belarus,5,2,7,3,2,0,2,2,3,2,5,1
,,,,,,,,,,,12/9/2020,Ruh Brest,Neman,a2U6F000002L7xGUAS,a2U6F000002L7xYUAS,Belarus,2,3,5,-1,0,2,2,-2,2,1,3,1
,,,,,,,,,,,13/04/2020,Slavia Mozyr,Ruh Brest,a2U6F000002L7xRUAS,a2U6F000002L7xGUAS,Belarus,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,13/06/2020,Dinamo Minsk,Slavia Mozyr,a2U6F000002L7xMUAS,a2U6F000002L7xRUAS,Belarus,1,0,1,1,1,0,1,1,0,0,0,0
,,,,,,,,,,,13/06/2020,Belaz Zhodino,Dinamo Brest,a2U6F000002L7xDUAS,a2U6F000002L7xXUAS,Belarus,0,2,2,-2,0,2,2,-2,0,0,0,0
,,,,,,,,,,,13/06/2020,Neman,Smolevichi,a2U6F000002L7xYUAS,a2U6F000002L7xCUAS,Belarus,2,0,2,2,0,0,0,0,2,0,2,2
,,,,,,,,,,,13/09/2020,Belaz Zhodino,Slavia Mozyr,a2U6F000002L7xDUAS,a2U6F000002L7xRUAS,Belarus,4,2,6,2,2,1,3,1,2,1,3,1
,,,,,,,,,,,13/09/2020,Belshina,Isloch,a2U6F000002L7xVUAS,a2U6F000002L7xbUAC,Belarus,2,3,5,-1,1,1,2,0,1,2,3,-1
,,,,,,,,,,,14/06/2020,Bate Borisov,Soligorsk,a2U6F000002L7xFUAS,a2U6F000002L7xWUAS,Belarus,2,2,4,0,0,1,1,-1,2,1,3,1
