Смартфон HTC с 3g T3232,500 ,Кантемировская,https://avito.ru/moskva/telefony/smartfon_htc_s_3g_t3232_1788270014
HTC ONE m8 dual sim,2 500 ,Щелковская,https://avito.ru/moskva/telefony/htc_one_m8_dual_sim_1902455052
Телефон HTC desire X,500 ,Новые Черемушки,https://avito.ru/moskva/telefony/telefon_htc_desire_x_1887362810
HTC Desire x,350 ,Локомотив,https://avito.ru/moskva/telefony/htc_desire_x_1991070388
HTC desire a8181,1 000 ,Варшавская,https://avito.ru/moskva/telefony/htc_desire_a8181_1993944507
HTC Sensation XE with Beats Audio,1 600 ,Братиславская,https://avito.ru/moskva/telefony/htc_sensation_xe_with_beats_audio_1838885583
Htc desire 510 на запчасти,200 ,Печатники,https://avito.ru/moskva/telefony/htc_desire_510_na_zapchasti_1948117027
Телефон HTC,2 000 ,Медведково,https://avito.ru/moskva/telefony/telefon_htc_1985668260
HTC T8290,1 000 ,Международная,https://avito.ru/moskva/telefony/htc_t8290_1958830359
Смартфон HTC с 3g T3232,500 ,Кантемировская,https://avito.ru/moskva/telefony/smartfon_htc_s_3g_t3232_1788270014
HTC one x 16gb,1 500 ,Домодедовская,https://avito.ru/moskva/telefony/htc_one_x_16gb_1597324815
HTC Desire 310,400 ,Медведково,https://avito.ru/moskva/telefony/htc_desire_310_1802436344
HTC,1 000 ,Лефортово,https://avito.ru/moskva/telefony/htc_1807660910
HTC One,3 500 ,Щелковская,https://avito.ru/moskva/telefony/htc_one_1957578195
HTC Desire EYE,4 700 ,Площадь революции,https://avito.ru/moskva/telefony/htc_desire_eye_1941011815
Htc 10 evo bolt,Цена не указа,Сходненская,https://avito.ru/moskva/telefony/htc_10_evo_bolt_1941879002
Телефон HTC U11 128 Gb,10 000 ,Новокузнецкая,https://avito.ru/moskva/telefony/telefon_htc_u11_128_gb_2002028912
HTC Desire S,2 000 ,Площадь революции,https://avito.ru/moskva/telefony/htc_desire_s_1051583389
HTC Desire 628 32gb Ростест Duos,1 900 ,Охотный ряд,https://avito.ru/moskva/telefony/htc_desire_628_32gb_rostest_duos_1963284641
HTC Desire 620G dual sim,2 000 ,Хорошево,https://avito.ru/moskva/telefony/htc_desire_620g_dual_sim_1936597525
